noise_type,dimension,N,physical_error_rates,best_final_errors,average_final_errors,output_counts,memory_usage,convergence_mask,estimated_threshold
depolarizing,2,8,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.007487790810549455, 0.015389734963078217, 0.02581792123042681, 0.03962830435850695, 0.05795843961169289, 0.0822741967640947, 0.11436448680826888, 0.15621271701816264, 0.20964815064357417, 0.27570877643176, 0.35380158850036364, 0.44103211561154715]","[0.007487790810549455, 0.015389734963078217, 0.02581792123042681, 0.03962830435850695, 0.05795843961169289, 0.0822741967640947, 0.11436448680826888, 0.15621271701816264, 0.20964815064357417, 0.27570877643176, 0.35380158850036364, 0.44103211561154715]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,16,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0038001707301427157, 0.007933504989170226, 0.013583896564258957, 0.021414338214412132, 0.03242943318506791, 0.04815778072542243, 0.0709033220986307, 0.10401824095642936, 0.15198323273370634, 0.21974336242037362, 0.31047012715183975, 0.4217389942295285]","[0.0038001707301427157, 0.007933504989170226, 0.013583896564258957, 0.021414338214412132, 0.03242943318506791, 0.04815778072542243, 0.0709033220986307, 0.10401824095642936, 0.15198323273370634, 0.21974336242037362, 0.31047012715183975, 0.4217389942295285]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,32,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00191455399727819, 0.004029940653083652, 0.006977706303710973, 0.011170543321098014, 0.0172828477984735, 0.026450951086285535, 0.04064268047769426, 0.06332037862388928, 0.10049304686822108, 0.16174794457309244, 0.25884378361495436, 0.39649723521764185]","[0.00191455399727819, 0.004029940653083652, 0.006977706303710973, 0.011170543321098014, 0.0172828477984735, 0.026450951086285535, 0.04064268047769426, 0.06332037862388928, 0.10049304686822108, 0.16174794457309244, 0.25884378361495436, 0.39649723521764185]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,64,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0009609460178189866, 0.002031243339236266, 0.003537710201864941, 0.005710741674590458, 0.008942655728214122, 0.013934123726069059, 0.02200525774712664, 0.03578751447488454, 0.060791113390076035, 0.10869227226271166, 0.2015970670428957, 0.3639397657751765]","[0.0009609460178189866, 0.002031243339236266, 0.003537710201864941, 0.005710741674590458, 0.008942655728214122, 0.013934123726069059, 0.02200525774712664, 0.03578751447488454, 0.060791113390076035, 0.10869227226271166, 0.2015970670428957, 0.3639397657751765]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,128,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00048139686940856796, 0.001019751800978741, 0.0017813925534498343, 0.00288807599087082, 0.004551653277417245, 0.007162555012502736, 0.011492065604848722, 0.01919654092304618, 0.03419576242617811, 0.06671652185431898, 0.14435378530155368, 0.3229563550742036]","[0.00048139686940856796, 0.001019751800978741, 0.0017813925534498343, 0.00288807599087082, 0.004551653277417245, 0.007162555012502736, 0.011492065604848722, 0.01919654092304618, 0.03419576242617811, 0.06671652185431898, 0.14435378530155368, 0.3229563550742036]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,256,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00024093023340343578, 0.0005109163238999348, 0.0008938724576008084, 0.001452390988073482, 0.002296591119246627, 0.0036327620930771687, 0.005878850316387796, 0.00997024414640918, 0.018286493572527374, 0.03794656730951673, 0.09423546652226261, 0.2734115287753685]","[0.00024093023340343578, 0.0005109163238999348, 0.0008938724576008084, 0.001452390988073482, 0.002296591119246627, 0.0036327620930771687, 0.005878850316387796, 0.00997024414640918, 0.018286493572527374, 0.03794656730951673, 0.09423546652226261, 0.2734115287753685]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,512,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00012052317107008603, 0.00025571926408957113, 0.00044773559355665293, 0.0007283064632531699, 0.0011535759329097117, 0.0018296018899585653, 0.0029740870240898, 0.005085018351673021, 0.009480642123757488, 0.020439429224901495, 0.05636930494150483, 0.2172388612888035]","[0.00012052317107008603, 0.00025571926408957113, 0.00044773559355665293, 0.0007283064632531699, 0.0011535759329097117, 0.0018296018899585653, 0.0029740870240898, 0.005085018351673021, 0.009480642123757488, 0.020439429224901495, 0.05636930494150483, 0.2172388612888035]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,2,1024,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[6.027611224501683e-05, 0.00012792503274572375, 0.00022406830879806439, 0.00036468385494803357, 0.0005781194705536952, 0.0009181514446759409, 0.0014959018195078166, 0.002568431992468423, 0.004830625592830096, 0.01064166350337964, 0.03144607528944271, 0.15930499054739888]","[6.027611224501683e-05, 0.00012792503274572375, 0.00022406830879806439, 0.00036468385494803357, 0.0005781194705536952, 0.0009181514446759409, 0.0014959018195078166, 0.002568431992468423, 0.004830625592830096, 0.01064166350337964, 0.03144607528944271, 0.15930499054739888]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,8,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00999514756656709, 0.02059632624802406, 0.03469948245414008, 0.05358203002636186, 0.07897643687491618, 0.11314129073755523, 0.1588028724693995, 0.21878297571297836, 0.29508219401671587, 0.3873767264394794, 0.49152633879645197, 0.599453360734684]","[0.00999514756656709, 0.02059632624802406, 0.03469948245414008, 0.05358203002636186, 0.07897643687491618, 0.11314129073755523, 0.1588028724693995, 0.21878297571297836, 0.29508219401671587, 0.3873767264394794, 0.49152633879645197, 0.599453360734684]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,16,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00507287355035609, 0.010619560539095593, 0.01826815333021899, 0.02900021862474748, 0.0443420874740296, 0.06667438787715578, 0.09964531914664725, 0.14851980461451664, 0.21981878921284026, 0.31882720131553893, 0.4439249180484226, 0.5813893313015082]","[0.00507287355035609, 0.010619560539095593, 0.01826815333021899, 0.02900021862474748, 0.0443420874740296, 0.06667438787715578, 0.09964531914664725, 0.14851980461451664, 0.21981878921284026, 0.31882720131553893, 0.4439249180484226, 0.5813893313015082]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,32,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0025557861385566336, 0.005394808228749974, 0.009386635091645834, 0.0151398724756416, 0.023677596434099984, 0.03677809752055613, 0.05761716935910832, 0.09190351219509567, 0.14941972891899255, 0.244023818414926, 0.38533687106820347, 0.5582300606783083]","[0.0025557861385566336, 0.005394808228749974, 0.009386635091645834, 0.0151398724756416, 0.023677596434099984, 0.03677809752055613, 0.05761716935910832, 0.09190351219509567, 0.14941972891899255, 0.244023818414926, 0.38533687106820347, 0.5582300606783083]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,64,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0012827983537557024, 0.0027192907991211435, 0.004759707886951237, 0.007743139175114007, 0.01226418504494157, 0.019421799864641764, 0.0313677401112582, 0.05256089366270348, 0.0925736393706107, 0.17098739175372132, 0.31650299175408936, 0.5285386724980807]","[0.0012827983537557024, 0.0027192907991211435, 0.004759707886951237, 0.007743139175114007, 0.01226418504494157, 0.019421799864641764, 0.0313677401112582, 0.05256089366270348, 0.0925736393706107, 0.17098739175372132, 0.31650299175408936, 0.5285386724980807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,128,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0006426341466819382, 0.0013651988365426988, 0.0023968853968413897, 0.003916710147100637, 0.006245587572660287, 0.009996523933057425, 0.01643319925765267, 0.028405259237530123, 0.05299457196521673, 0.10905922197804196, 0.24161397230645307, 0.4906304085390083]","[0.0006426341466819382, 0.0013651988365426988, 0.0023968853968413897, 0.003916710147100637, 0.006245587572660287, 0.009996523933057425, 0.01643319925765267, 0.028405259237530123, 0.05299457196521673, 0.10905922197804196, 0.24161397230645307, 0.4906304085390083]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,256,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0003216269068166966, 0.000683998197670436, 0.0012027566507426535, 0.001969883024557436, 0.0031521403786224, 0.005073582524150133, 0.00842078708495686, 0.014816237413379193, 0.028657734188359745, 0.06390217580713446, 0.16879399743913726, 0.44280490664176025]","[0.0003216269068166966, 0.000683998197670436, 0.0012027566507426535, 0.001969883024557436, 0.0031521403786224, 0.005073582524150133, 0.00842078708495686, 0.014816237413379193, 0.028657734188359745, 0.06390217580713446, 0.16879399743913726, 0.44280490664176025]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,512,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00016089104878314053, 0.00034235010894908174, 0.0006024639451245317, 0.0009878547052935005, 0.0015835339072412709, 0.0025561460410898165, 0.004263798739243614, 0.007573969678957478, 0.014953506540159145, 0.03510790969123271, 0.10734527642763547, 0.3839838728635698]","[0.00016089104878314053, 0.00034235010894908174, 0.0006024639451245317, 0.0009878547052935005, 0.0015835339072412709, 0.0025561460410898165, 0.004263798739243614, 0.007573969678957478, 0.014953506540159145, 0.03510790969123271, 0.10734527642763547, 0.3839838728635698]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,1024,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[8.046494040040801e-05, 0.00017126297221659037, 0.0003015042766433644, 0.0004946596066586947, 0.0007936491262274803, 0.001282979687510825, 0.002145563360170281, 0.0038301709035787703, 0.007645702952062017, 0.01849429566781328, 0.0627466768123502, 0.314964500472857]","[8.046494040040801e-05, 0.00017126297221659037, 0.0003015042766433644, 0.0004946596066586947, 0.0007936491262274803, 0.001282979687510825, 0.002145563360170281, 0.0038301709035787703, 0.007645702952062017, 0.01849429566781328, 0.0627466768123502, 0.314964500472857]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,8,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.011251116871142247, 0.023215866664473228, 0.03920217802244999, 0.06073685623449415, 0.08991874058922972, 0.12951164386789002, 0.18284669300281392, 0.25324616700868996, 0.3426178930513433, 0.4492592373348242, 0.5660935491734336, 0.6815984203266767]","[0.011251116871142247, 0.023215866664473228, 0.03920217802244999, 0.06073685623449415, 0.08991874058922972, 0.12951164386789002, 0.18284669300281392, 0.25324616700868996, 0.3426178930513433, 0.4492592373348242, 0.5660935491734336, 0.6815984203266767]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
