noise_type,dimension,N,physical_error_rate,iterations,logical_errors,fidelities,purities,total_swap_operations,total_amplification_iterations,memory_levels_used,final_error_reduction_ratio,convergence_achieved,noise_model_name
depolarizing,2,8,0.1,"[0, 1, 2, 3]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011]",7,0,3,0.14975581621098913,True,Depolarizing_d2_delta0.100
depolarizing,2,8,0.2,"[0, 1, 2, 3]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454]",7,0,3,0.181610448520273,True,Depolarizing_d2_delta0.200
depolarizing,2,8,0.3,"[0, 1, 2, 3]","[0.15000000000000002, 0.09885386819484243, 0.05962442795564704, 0.03346617716880623]","[0.85, 0.9011461318051576, 0.940375572044353, 0.9665338228311937]","[0.7, 0.8022922636103151, 0.8807511440887059, 0.9330676456623875]",7,0,3,0.2231078477920415,True,Depolarizing_d2_delta0.300
depolarizing,2,8,0.4,"[0, 1, 2, 3]","[0.2, 0.14285714285714285, 0.09302325581395349, 0.055522740696987594]","[0.8, 0.8571428571428572, 0.9069767441860466, 0.9444772593030124]","[0.6, 0.7142857142857143, 0.813953488372093, 0.8889545186060248]",7,0,3,0.27761370348493797,True,Depolarizing_d2_delta0.400
depolarizing,2,8,0.5,"[0, 1, 2, 3]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534]",7,0,3,0.3492680113170932,True,Depolarizing_d2_delta0.500
depolarizing,2,8,0.6,"[0, 1, 2, 3]","[0.3, 0.24683544303797467, 0.18902229001623772, 0.1327210475470032]","[0.7, 0.7531645569620253, 0.8109777099837623, 0.8672789524529968]","[0.4, 0.5063291139240507, 0.6219554199675246, 0.7345579049059936]",7,0,3,0.44240349182334404,True,Depolarizing_d2_delta0.600
depolarizing,2,8,0.7,"[0, 1, 2, 3]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938]",7,0,3,0.559878442271866,True,Depolarizing_d2_delta0.700
depolarizing,2,8,0.8,"[0, 1, 2, 3]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534]",7,0,3,0.6999648847047808,True,Depolarizing_d2_delta0.800
depolarizing,2,16,0.1,"[0, 1, 2, 3, 4]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146]",15,0,4,0.07600341460285433,True,Depolarizing_d2_delta0.100
depolarizing,2,16,0.2,"[0, 1, 2, 3, 4]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759]",15,0,4,0.09413284561262061,True,Depolarizing_d2_delta0.200
depolarizing,2,16,0.3,"[0, 1, 2, 3, 4]","[0.15000000000000002, 0.09885386819484243, 0.05962442795564704, 0.03346617716880623, 0.0178711445677599]","[0.85, 0.9011461318051576, 0.940375572044353, 0.9665338228311937, 0.98212885543224]","[0.7, 0.8022922636103151, 0.8807511440887059, 0.9330676456623875, 0.9642577108644802]",15,0,4,0.11914096378506599,True,Depolarizing_d2_delta0.300
depolarizing,2,16,0.4,"[0, 1, 2, 3, 4]","[0.2, 0.14285714285714285, 0.09302325581395349, 0.055522740696987594, 0.030924433981125543]","[0.8, 0.8571428571428572, 0.9069767441860466, 0.9444772593030124, 0.9690755660188745]","[0.6, 0.7142857142857143, 0.813953488372093, 0.8889545186060248, 0.9381511320377489]",15,0,4,0.15462216990562772,True,Depolarizing_d2_delta0.400
depolarizing,2,16,0.5,"[0, 1, 2, 3, 4]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709]",15,0,4,0.2063251401692583,True,Depolarizing_d2_delta0.500
depolarizing,2,16,0.6,"[0, 1, 2, 3, 4]","[0.3, 0.24683544303797467, 0.18902229001623772, 0.1327210475470032, 0.08494574100110652]","[0.7, 0.7531645569620253, 0.8109777099837623, 0.8672789524529968, 0.9150542589988935]","[0.4, 0.5063291139240507, 0.6219554199675246, 0.7345579049059936, 0.830108517997787]",15,0,4,0.28315247000368843,True,Depolarizing_d2_delta0.600
depolarizing,2,16,0.7,"[0, 1, 2, 3, 4]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391]",15,0,4,0.3974106826948013,True,Depolarizing_d2_delta0.700
depolarizing,2,16,0.8,"[0, 1, 2, 3, 4]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893]",15,0,4,0.5610835953722634,True,Depolarizing_d2_delta0.800
depolarizing,2,32,0.1,"[0, 1, 2, 3, 4, 5]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157, 0.00191455399727819]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573, 0.9980854460027218]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146, 0.9961708920054436]",31,0,5,0.038291079945563807,True,Depolarizing_d2_delta0.100
depolarizing,2,32,0.2,"[0, 1, 2, 3, 4, 5]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059, 0.004795665261973114]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738, 0.9952043347380268]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538]",31,0,5,0.04795665261973116,True,Depolarizing_d2_delta0.200
depolarizing,2,32,0.3,"[0, 1, 2, 3, 4, 5]","[0.15000000000000002, 0.09885386819484243, 0.05962442795564704, 0.03346617716880623, 0.0178711445677599, 0.00925775107555743]","[0.85, 0.9011461318051576, 0.940375572044353, 0.9665338228311937, 0.98212885543224, 0.9907422489244426]","[0.7, 0.8022922636103151, 0.8807511440887059, 0.9330676456623875, 0.9642577108644802, 0.9814844978488851]",31,0,5,0.06171834050371619,True,Depolarizing_d2_delta0.300
depolarizing,2,32,0.4,"[0, 1, 2, 3, 4, 5]","[0.2, 0.14285714285714285, 0.09302325581395349, 0.055522740696987594, 0.030924433981125543, 0.016432838465105015]","[0.8, 0.8571428571428572, 0.9069767441860466, 0.9444772593030124, 0.9690755660188745, 0.983567161534895]","[0.6, 0.7142857142857143, 0.813953488372093, 0.8889545186060248, 0.9381511320377489, 0.96713432306979]",31,0,5,0.08216419232552508,True,Depolarizing_d2_delta0.400
depolarizing,2,32,0.5,"[0, 1, 2, 3, 4, 5]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457, 0.028515977323784802]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855, 0.9714840226762151]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304]",31,0,5,0.11406390929513921,True,Depolarizing_d2_delta0.500
depolarizing,2,32,0.6,"[0, 1, 2, 3, 4, 5]","[0.3, 0.24683544303797467, 0.18902229001623772, 0.1327210475470032, 0.08494574100110652, 0.049964498534438684]","[0.7, 0.7531645569620253, 0.8109777099837623, 0.8672789524529968, 0.9150542589988935, 0.9500355014655613]","[0.4, 0.5063291139240507, 0.6219554199675246, 0.7345579049059936, 0.830108517997787, 0.9000710029311226]",31,0,5,0.16654832844812895,True,Depolarizing_d2_delta0.600
depolarizing,2,32,0.7,"[0, 1, 2, 3, 4, 5]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044, 0.08999727799255686]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196, 0.9100027220074431]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863]",31,0,5,0.2571350799787339,True,Depolarizing_d2_delta0.700
depolarizing,2,32,0.8,"[0, 1, 2, 3, 4, 5]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537, 0.16635883220815212]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946, 0.8336411677918478]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893, 0.6672823355836958]",31,0,5,0.41589708052038027,True,Depolarizing_d2_delta0.800
depolarizing,2,64,0.1,"[0, 1, 2, 3, 4, 5, 6]","[0.04999999999999999, 0.027559055118110243, 0.014549190118973654, 0.007487790810549455, 0.0038001707301427157, 0.00191455399727819, 0.0009609460178189866]","[0.95, 0.9724409448818898, 0.9854508098810264, 0.9925122091894505, 0.9961998292698573, 0.9980854460027218, 0.999039053982181]","[0.9, 0.9448818897637795, 0.9709016197620527, 0.9850244183789011, 0.9923996585397146, 0.9961708920054436, 0.998078107964362]",63,0,6,0.019218920356379735,True,Depolarizing_d2_delta0.100
depolarizing,2,64,0.2,"[0, 1, 2, 3, 4, 5, 6]","[0.09999999999999998, 0.06043956043956045, 0.03397561053676024, 0.018161044852027297, 0.009413284561262059, 0.004795665261973114, 0.0024208859156122364]","[0.9, 0.9395604395604396, 0.9660243894632398, 0.9818389551479727, 0.990586715438738, 0.9952043347380268, 0.9975791140843877]","[0.8, 0.8791208791208791, 0.9320487789264795, 0.9636779102959454, 0.9811734308774759, 0.9904086694760538, 0.9951582281687755]",63,0,6,0.02420885915612237,True,Depolarizing_d2_delta0.200
depolarizing,2,64,0.3,"[0, 1, 2, 3, 4, 5, 6]","[0.15000000000000002, 0.09885386819484243, 0.05962442795564704, 0.03346617716880623, 0.0178711445677599, 0.00925775107555743, 0.004714974473884026]","[0.85, 0.9011461318051576, 0.940375572044353, 0.9665338228311937, 0.98212885543224, 0.9907422489244426, 0.995285025526116]","[0.7, 0.8022922636103151, 0.8807511440887059, 0.9330676456623875, 0.9642577108644802, 0.9814844978488851, 0.990570051052232]",63,0,6,0.03143316315922683,True,Depolarizing_d2_delta0.300
depolarizing,2,64,0.4,"[0, 1, 2, 3, 4, 5, 6]","[0.2, 0.14285714285714285, 0.09302325581395349, 0.055522740696987594, 0.030924433981125543, 0.016432838465105015, 0.008488638491187972]","[0.8, 0.8571428571428572, 0.9069767441860466, 0.9444772593030124, 0.9690755660188745, 0.983567161534895, 0.991511361508812]","[0.6, 0.7142857142857143, 0.813953488372093, 0.8889545186060248, 0.9381511320377489, 0.96713432306979, 0.9830227230176241]",63,0,6,0.04244319245593986,True,Depolarizing_d2_delta0.400
depolarizing,2,64,0.5,"[0, 1, 2, 3, 4, 5, 6]","[0.25, 0.1923076923076923, 0.13572679509632224, 0.0873170028292733, 0.05158128504231457, 0.028515977323784802, 0.015082393932659255]","[0.75, 0.8076923076923077, 0.8642732049036778, 0.9126829971707267, 0.9484187149576855, 0.9714840226762151, 0.9849176060673408]","[0.5, 0.6153846153846154, 0.7285464098073555, 0.8253659943414534, 0.8968374299153709, 0.9429680453524304, 0.9698352121346815]",63,0,6,0.06032957573063702,True,Depolarizing_d2_delta0.500
depolarizing,2,64,0.6,"[0, 1, 2, 3, 4, 5, 6]","[0.3, 0.24683544303797467, 0.18902229001623772, 0.1327210475470032, 0.08494574100110652, 0.049964498534438684, 0.02753763246795954]","[0.7, 0.7531645569620253, 0.8109777099837623, 0.8672789524529968, 0.9150542589988935, 0.9500355014655613, 0.9724623675320405]","[0.4, 0.5063291139240507, 0.6219554199675246, 0.7345579049059936, 0.830108517997787, 0.9000710029311226, 0.9449247350640809]",63,0,6,0.0917921082265318,True,Depolarizing_d2_delta0.600
depolarizing,2,64,0.7,"[0, 1, 2, 3, 4, 5, 6]","[0.35, 0.3058252427184466, 0.2534926855535944, 0.19595745479515309, 0.13909373894318044, 0.08999727799255686, 0.053423673646459835]","[0.65, 0.6941747572815534, 0.7465073144464056, 0.804042545204847, 0.8609062610568196, 0.9100027220074431, 0.9465763263535402]","[0.30000000000000004, 0.38834951456310685, 0.4930146288928113, 0.6080850904096938, 0.7218125221136391, 0.8200054440148863, 0.8931526527070803]",63,0,6,0.15263906756131382,True,Depolarizing_d2_delta0.700
depolarizing,2,64,0.8,"[0, 1, 2, 3, 4, 5, 6]","[0.4, 0.368421052631579, 0.3285198555956679, 0.27998595388191233, 0.22443343814890537, 0.16635883220815212, 0.11263810068147184]","[0.6, 0.631578947368421, 0.6714801444043321, 0.7200140461180877, 0.7755665618510946, 0.8336411677918478, 0.8873618993185282]","[0.19999999999999996, 0.26315789473684204, 0.3429602888086642, 0.44002809223617534, 0.5511331237021893, 0.6672823355836958, 0.7747237986370563]",63,0,6,0.2815952517036796,True,Depolarizing_d2_delta0.800
depolarizing,3,8,0.1,"[0, 1, 2, 3]","[0.06666666666666665, 0.03677342823250296, 0.01941920073609597, 0.00999514756656709]","[0.9333333333333333, 0.963226571767497, 0.9805807992639041, 0.990004852433433]","[0.9, 0.9448398576512456, 0.970871198895856, 0.9850072786501494]",7,0,3,0.14992721349850638,True,Depolarizing_d3_delta0.100
depolarizing,3,8,0.2,"[0, 1, 2, 3]","[0.1333333333333333, 0.08080808080808073, 0.045489676493319996, 0.02433122376564441]","[0.8666666666666667, 0.9191919191919192, 0.95451032350668, 0.9756687762343556]","[0.8, 0.8787878787878789, 0.93176548526002, 0.9635031643515334]",7,0,3,0.18248417824233312,True,Depolarizing_d3_delta0.200
depolarizing,3,8,0.3,"[0, 1, 2, 3]","[0.20000000000000004, 0.13253012048192772, 0.08023241438991217, 0.04512840107854199]","[0.7999999999999999, 0.8674698795180723, 0.9197675856100879, 0.954871598921458]","[0.7, 0.8012048192771084, 0.8796513784151317, 0.932307398382187]",7,0,3,0.2256420053927099,True,Depolarizing_d3_delta0.300
depolarizing,3,8,0.4,"[0, 1, 2, 3]","[0.26666666666666666, 0.192090395480226, 0.12598365039346016, 0.07558219207973409]","[0.7333333333333333, 0.807909604519774, 0.8740163496065398, 0.924417807920266]","[0.6, 0.711864406779661, 0.8110245244098098, 0.8866267118803989]",7,0,3,0.2834332202990028,True,Depolarizing_d3_delta0.400
depolarizing,3,8,0.5,"[0, 1, 2, 3]","[0.3333333333333333, 0.2592592592592593, 0.18508885999133065, 0.12028117260155231]","[0.6666666666666666, 0.7407407407407407, 0.8149111400086694, 0.8797188273984476]","[0.5, 0.611111111111111, 0.722366710013004, 0.8195782410976715]",7,0,3,0.36084351780465695,True,Depolarizing_d3_delta0.500
depolarizing,3,8,0.6,"[0, 1, 2, 3]","[0.39999999999999997, 0.3333333333333333, 0.2592592592592593, 0.18508885999133065]","[0.6, 0.6666666666666666, 0.7407407407407407, 0.8149111400086694]","[0.4, 0.49999999999999994, 0.611111111111111, 0.722366710013004]",7,0,3,0.46272214997832667,True,Depolarizing_d3_delta0.600
depolarizing,3,8,0.7,"[0, 1, 2, 3]","[0.4666666666666666, 0.41307814992025516, 0.3485781280160684, 0.27562482882309897]","[0.5333333333333333, 0.5869218500797448, 0.6514218719839315, 0.724375171176901]","[0.30000000000000004, 0.38038277511961727, 0.47713280797589736, 0.5865627567653515]",7,0,3,0.590624633192355,True,Depolarizing_d3_delta0.700
depolarizing,3,8,0.8,"[0, 1, 2, 3]","[0.5333333333333333, 0.49673202614379086, 0.45044374107863216, 0.3932372779824493]","[0.4666666666666666, 0.5032679738562091, 0.5495562589213678, 0.6067627220175507]","[0.19999999999999996, 0.25490196078431365, 0.3243343883820517, 0.41014408302632605]",7,0,3,0.7373198962170924,True,Depolarizing_d3_delta0.800
depolarizing,3,16,0.1,"[0, 1, 2, 3, 4]","[0.06666666666666665, 0.03677342823250296, 0.01941920073609597, 0.00999514756656709, 0.00507287355035609]","[0.9333333333333333, 0.963226571767497, 0.9805807992639041, 0.990004852433433, 0.9949271264496439]","[0.9, 0.9448398576512456, 0.970871198895856, 0.9850072786501494, 0.9923906896744659]",15,0,4,0.07609310325534137,True,Depolarizing_d3_delta0.100
depolarizing,3,16,0.2,"[0, 1, 2, 3, 4]","[0.1333333333333333, 0.08080808080808073, 0.045489676493319996, 0.02433122376564441, 0.012614950049995688]","[0.8666666666666667, 0.9191919191919192, 0.95451032350668, 0.9756687762343556, 0.9873850499500043]","[0.8, 0.8787878787878789, 0.93176548526002, 0.9635031643515334, 0.9810775749250065]",15,0,4,0.09461212537496769,True,Depolarizing_d3_delta0.200
depolarizing,3,16,0.3,"[0, 1, 2, 3, 4]","[0.20000000000000004, 0.13253012048192772, 0.08023241438991217, 0.04512840107854199, 0.024125227024569096]","[0.7999999999999999, 0.8674698795180723, 0.9197675856100879, 0.954871598921458, 0.9758747729754309]","[0.7, 0.8012048192771084, 0.8796513784151317, 0.932307398382187, 0.9638121594631464]",15,0,4,0.12062613512284545,True,Depolarizing_d3_delta0.300
depolarizing,3,16,0.4,"[0, 1, 2, 3, 4]","[0.26666666666666666, 0.192090395480226, 0.12598365039346016, 0.07558219207973409, 0.042230177109146595]","[0.7333333333333333, 0.807909604519774, 0.8740163496065398, 0.924417807920266, 0.9577698228908534]","[0.6, 0.711864406779661, 0.8110245244098098, 0.8866267118803989, 0.9366547343362801]",15,0,4,0.15836316415929974,True,Depolarizing_d3_delta0.400
depolarizing,3,16,0.5,"[0, 1, 2, 3, 4]","[0.3333333333333333, 0.2592592592592593, 0.18508885999133065, 0.12028117260155231, 0.07159180342659936]","[0.6666666666666666, 0.7407407407407407, 0.8149111400086694, 0.8797188273984476, 0.9284081965734007]","[0.5, 0.611111111111111, 0.722366710013004, 0.8195782410976715, 0.892612294860101]",15,0,4,0.2147754102797981,True,Depolarizing_d3_delta0.500
depolarizing,3,16,0.6,"[0, 1, 2, 3, 4]","[0.39999999999999997, 0.3333333333333333, 0.2592592592592593, 0.18508885999133065, 0.12028117260155231]","[0.6, 0.6666666666666666, 0.7407407407407407, 0.8149111400086694, 0.8797188273984476]","[0.4, 0.49999999999999994, 0.611111111111111, 0.722366710013004, 0.8195782410976715]",15,0,4,0.30070293150388083,True,Depolarizing_d3_delta0.600
depolarizing,3,16,0.7,"[0, 1, 2, 3, 4]","[0.4666666666666666, 0.41307814992025516, 0.3485781280160684, 0.27562482882309897, 0.2006837953095637]","[0.5333333333333333, 0.5869218500797448, 0.6514218719839315, 0.724375171176901, 0.7993162046904363]","[0.30000000000000004, 0.38038277511961727, 0.47713280797589736, 0.5865627567653515, 0.6989743070356544]",15,0,4,0.4300367042347794,True,Depolarizing_d3_delta0.700
depolarizing,3,16,0.8,"[0, 1, 2, 3, 4]","[0.5333333333333333, 0.49673202614379086, 0.45044374107863216, 0.3932372779824493, 0.32553577620239654]","[0.4666666666666666, 0.5032679738562091, 0.5495562589213678, 0.6067627220175507, 0.6744642237976034]","[0.19999999999999996, 0.25490196078431365, 0.3243343883820517, 0.41014408302632605, 0.5116963356964052]",15,0,4,0.6103795803794936,True,Depolarizing_d3_delta0.800
depolarizing,3,32,0.1,"[0, 1, 2, 3, 4, 5]","[0.06666666666666665, 0.03677342823250296, 0.01941920073609597, 0.00999514756656709, 0.00507287355035609, 0.0025557861385566336]","[0.9333333333333333, 0.963226571767497, 0.9805807992639041, 0.990004852433433, 0.9949271264496439, 0.9974442138614433]","[0.9, 0.9448398576512456, 0.970871198895856, 0.9850072786501494, 0.9923906896744659, 0.996166320792165]",31,0,5,0.038336792078349516,True,Depolarizing_d3_delta0.100
depolarizing,3,32,0.2,"[0, 1, 2, 3, 4, 5]","[0.1333333333333333, 0.08080808080808073, 0.045489676493319996, 0.02433122376564441, 0.012614950049995688, 0.0064275756634645615]","[0.8666666666666667, 0.9191919191919192, 0.95451032350668, 0.9756687762343556, 0.9873850499500043, 0.9935724243365355]","[0.8, 0.8787878787878789, 0.93176548526002, 0.9635031643515334, 0.9810775749250065, 0.9903586365048032]",31,0,5,0.04820681747598422,True,Depolarizing_d3_delta0.200
depolarizing,3,32,0.3,"[0, 1, 2, 3, 4, 5]","[0.20000000000000004, 0.13253012048192772, 0.08023241438991217, 0.04512840107854199, 0.024125227024569096, 0.01250433160580148]","[0.7999999999999999, 0.8674698795180723, 0.9197675856100879, 0.954871598921458, 0.9758747729754309, 0.9874956683941986]","[0.7, 0.8012048192771084, 0.8796513784151317, 0.932307398382187, 0.9638121594631464, 0.9812435025912978]",31,0,5,0.06252165802900739,True,Depolarizing_d3_delta0.300
depolarizing,3,32,0.4,"[0, 1, 2, 3, 4, 5]","[0.26666666666666666, 0.192090395480226, 0.12598365039346016, 0.07558219207973409, 0.042230177109146595, 0.0224802105930626]","[0.7333333333333333, 0.807909604519774, 0.8740163496065398, 0.924417807920266, 0.9577698228908534, 0.9775197894069374]","[0.6, 0.711864406779661, 0.8110245244098098, 0.8866267118803989, 0.9366547343362801, 0.9662796841104061]",31,0,5,0.08430078972398475,True,Depolarizing_d3_delta0.400
depolarizing,3,32,0.5,"[0, 1, 2, 3, 4, 5]","[0.3333333333333333, 0.2592592592592593, 0.18508885999133065, 0.12028117260155231, 0.07159180342659936, 0.03977169144635543]","[0.6666666666666666, 0.7407407407407407, 0.8149111400086694, 0.8797188273984476, 0.9284081965734007, 0.9602283085536446]","[0.5, 0.611111111111111, 0.722366710013004, 0.8195782410976715, 0.892612294860101, 0.9403424628304669]",31,0,5,0.1193150743390663,True,Depolarizing_d3_delta0.500
depolarizing,3,32,0.6,"[0, 1, 2, 3, 4, 5]","[0.39999999999999997, 0.3333333333333333, 0.2592592592592593, 0.18508885999133065, 0.12028117260155231, 0.07159180342659936]","[0.6, 0.6666666666666666, 0.7407407407407407, 0.8149111400086694, 0.8797188273984476, 0.9284081965734007]","[0.4, 0.49999999999999994, 0.611111111111111, 0.722366710013004, 0.8195782410976715, 0.892612294860101]",31,0,5,0.1789795085664984,True,Depolarizing_d3_delta0.600
depolarizing,3,32,0.7,"[0, 1, 2, 3, 4, 5]","[0.4666666666666666, 0.41307814992025516, 0.3485781280160684, 0.27562482882309897, 0.2006837953095637, 0.13310127376169603]","[0.5333333333333333, 0.5869218500797448, 0.6514218719839315, 0.724375171176901, 0.7993162046904363, 0.866898726238304]","[0.30000000000000004, 0.38038277511961727, 0.47713280797589736, 0.5865627567653515, 0.6989743070356544, 0.8003480893574559]",31,0,5,0.2852170152036344,True,Depolarizing_d3_delta0.700
depolarizing,3,32,0.8,"[0, 1, 2, 3, 4, 5]","[0.5333333333333333, 0.49673202614379086, 0.45044374107863216, 0.3932372779824493, 0.32553577620239654, 0.25102816404180955]","[0.4666666666666666, 0.5032679738562091, 0.5495562589213678, 0.6067627220175507, 0.6744642237976034, 0.7489718359581904]","[0.19999999999999996, 0.25490196078431365, 0.3243343883820517, 0.41014408302632605, 0.5116963356964052, 0.6234577539372856]",31,0,5,0.4706778075783929,True,Depolarizing_d3_delta0.800
depolarizing,3,64,0.1,"[0, 1, 2, 3, 4, 5, 6]","[0.06666666666666665, 0.03677342823250296, 0.01941920073609597, 0.00999514756656709, 0.00507287355035609, 0.0025557861385566336, 0.0012827983537557024]","[0.9333333333333333, 0.963226571767497, 0.9805807992639041, 0.990004852433433, 0.9949271264496439, 0.9974442138614433, 0.9987172016462443]","[0.9, 0.9448398576512456, 0.970871198895856, 0.9850072786501494, 0.9923906896744659, 0.996166320792165, 0.9980758024693664]",63,0,6,0.01924197530633554,True,Depolarizing_d3_delta0.100
depolarizing,3,64,0.2,"[0, 1, 2, 3, 4, 5, 6]","[0.1333333333333333, 0.08080808080808073, 0.045489676493319996, 0.02433122376564441, 0.012614950049995688, 0.0064275756634645615, 0.003244872383388738]","[0.8666666666666667, 0.9191919191919192, 0.95451032350668, 0.9756687762343556, 0.9873850499500043, 0.9935724243365355, 0.9967551276166112]","[0.8, 0.8787878787878789, 0.93176548526002, 0.9635031643515334, 0.9810775749250065, 0.9903586365048032, 0.9951326914249169]",63,0,6,0.02433654287541554,True,Depolarizing_d3_delta0.200
